Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (SDG),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_TOT","6.4.2 Level of water stress (No breakdown)","2003","2003","%","1.39","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_TOT","6.4.2 Level of water stress (No breakdown)","2004","2004","%","1.46","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_TOT","6.4.2 Level of water stress (No breakdown)","2005","2005","%","1.54","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_TOT","6.4.2 Level of water stress (No breakdown)","2006","2006","%","1.61","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_TOT","6.4.2 Level of water stress (No breakdown)","2007","2007","%","1.69","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_TOT","6.4.2 Level of water stress (No breakdown)","2008","2008","%","1.76","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_TOT","6.4.2 Level of water stress (No breakdown)","2009","2009","%","2.06","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_TOT","6.4.2 Level of water stress (No breakdown)","2010","2010","%","2.37","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_TOT","6.4.2 Level of water stress (No breakdown)","2011","2011","%","2.67","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_TOT","6.4.2 Level of water stress (No breakdown)","2012","2012","%","2.98","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_TOT","6.4.2 Level of water stress (No breakdown)","2013","2013","%","3.28","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_TOT","6.4.2 Level of water stress (No breakdown)","2014","2014","%","3.58","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_TOT","6.4.2 Level of water stress (No breakdown)","2015","2015","%","3.89","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_TOT","6.4.2 Level of water stress (No breakdown)","2016","2016","%","4.19","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_TOT","6.4.2 Level of water stress (No breakdown)","2017","2017","%","4.13","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_TOT","6.4.2 Level of water stress (No breakdown)","2018","2018","%","4.06","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_TOT","6.4.2 Level of water stress (No breakdown)","2019","2019","%","4.17","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_TOT","6.4.2 Level of water stress (No breakdown)","2020","2020","%","4.28","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_TOT","6.4.2 Level of water stress (No breakdown)","2021","2021","%","4.39","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_SER","6.4.2 Level of water stress (Services (G to T))","2000","2000","%","0.37","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_SER","6.4.2 Level of water stress (Services (G to T))","2001","2001","%","0.38","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_SER","6.4.2 Level of water stress (Services (G to T))","2002","2002","%","0.39","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_SER","6.4.2 Level of water stress (Services (G to T))","2003","2003","%","0.41","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_SER","6.4.2 Level of water stress (Services (G to T))","2004","2004","%","0.42","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_SER","6.4.2 Level of water stress (Services (G to T))","2005","2005","%","0.43","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
"SDGB","SDG Indicators","170","Colombia","6121","Value","ER_H2O_STRESS_SER","6.4.2 Level of water stress (Services (G to T))","2006","2006","%","0.44","A","Official figure","Global monitoring data | Food and Agriculture Organisation of United Nations (FAO)"
