Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1986","1986","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1986","1986","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1986","1986","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1987","1987","t","2","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1987","1987","1000 USD","3","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1987","1987","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1987","1987","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1988","1988","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1988","1988","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1988","1988","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1988","1988","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1989","1989","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1989","1989","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","01311","Avocados","1989","1989","t","1","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export Value","01311","Avocados","1989","1989","1000 USD","2","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01311","Avocados","1990","1990","t","0","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5622","Import Value","01311","Avocados","1990","1990","1000 USD","0","A","Official figure",""
